term,mean_coefficient,newey_west_se,t_stat,observations
intercept,0.011186461738422093,0.005731488365527892,1.9517551157746749,107
size_z,-0.0027200381151977187,0.0015770190305869952,-1.7247972677826664,107
roe_z,0.0016946933223198778,0.0020753977644945736,0.8165631433705386,107
gross_profitability_z,0.0016989822842169884,0.0029447249077483766,0.5769578950300251,107
ocf_to_assets_z,0.000431030751138332,0.001984228391104491,0.21722839622227416,107
revenue_growth_z,0.0012123603045555678,0.0011470588359859047,1.0569294848014803,107
earnings_growth_z,0.000500578464784657,0.0008658034432970985,0.5781664056201778,107
rolling_beta_z,0.0014365835640531464,0.0025489609779725535,0.5635957460579905,107
idiosyncratic_volatility_z,0.0009578730880274684,0.0017665564593521675,0.5422261388570282,107
downside_beta_z,0.0014540588116359028,0.002439100059147924,0.5961456177996504,107
