factor_name,mean_rank_ic,std_rank_ic,rank_icir,rank_ic_win_rate,observations
ep_industry_size_neutral_z,0.036918981733363984,0.12110573857341642,0.3048491522223206,0.5882352941176471,119
ep_size_neutral_z,0.035855171045613976,0.17342661271237142,0.2067454958892606,0.6134453781512605,119
ep_industry_neutral_z,0.03381364066912647,0.11189942699118753,0.3021788545153981,0.6302521008403361,119
cfp_z,0.03080300409513392,0.12042059566037218,0.25579514804933423,0.6302521008403361,119
ep_z,0.0302036099277847,0.16818200852352255,0.17958882875132456,0.5966386554621849,119
cfp_size_neutral_z,0.02539321849222847,0.13803518126752182,0.18396193100231917,0.6386554621848739,119
cfp_industry_size_neutral_z,0.02346459549305215,0.09481509059199487,0.24747743578102152,0.6050420168067226,119
cfp_industry_neutral_z,0.021269597640573908,0.08616288844773828,0.2468533497861424,0.6134453781512605,119
bp_industry_neutral_z,0.018363341358393914,0.12501474787675765,0.14688940041295695,0.5630252100840336,119
value_composite_raw_industry_neutral_z,0.014864380654795185,0.11740577891349178,0.12660689100957903,0.5798319327731093,119
value_composite_raw_z,0.011565026037869864,0.1999595899087827,0.05783681614442989,0.5042016806722689,119
bp_z,0.008423576336493169,0.2109623974771686,0.03992927856920478,0.5294117647058824,119
sp_z,0.00793928948532439,0.17532639764533595,0.04528291000072112,0.4957983193277311,119
value_composite_raw_industry_size_neutral_z,0.00752133665388034,0.10109070316903185,0.07440186306058288,0.5798319327731093,119
bp_industry_size_neutral_z,0.006768282549503703,0.10428007953393724,0.0649048464457779,0.5462184873949579,119
sp_industry_neutral_z,0.004798882304194886,0.10521308743285093,0.04561107768325521,0.5210084033613446,119
value_composite_raw_size_neutral_z,-0.0017569700412225133,0.1787727420239519,-0.009827952636018275,0.4789915966386555,119
sp_industry_size_neutral_z,-0.0025029658926290607,0.08823552006416659,-0.028366874143302554,0.4957983193277311,119
sp_size_neutral_z,-0.005468489492695244,0.16387681329938752,-0.03336951324959455,0.48739495798319327,119
bp_size_neutral_z,-0.008185140823547607,0.1877174983120549,-0.043603504719314554,0.47058823529411764,119
