factor_name,mean_rank_ic,std_rank_ic,rank_icir,rank_ic_win_rate,observations
ocf_to_assets_z,0.03224187166976844,0.11730386725565616,0.27485770438837603,0.5966386554621849,119
gross_profitability_z,0.03148366518759689,0.15170973955401187,0.20752566895277044,0.5630252100840336,119
roe_neutral_z,0.02992816435915358,0.10592136438758903,0.282550782197631,0.6554621848739496,119
roe_z,0.029381090893465345,0.1617069290829633,0.1816934565518306,0.5630252100840336,119
ocf_to_assets_neutral_z,0.028377038990997843,0.10029522570673292,0.2829350927827152,0.5966386554621849,119
gross_profitability_neutral_z,0.02421894806948157,0.09679244151744812,0.2502152822037843,0.5966386554621849,119
earnings_growth_z,0.017378399292135083,0.13091995465278933,0.13274064552057058,0.5545454545454546,110
earnings_growth_neutral_z,0.01683362828492558,0.09582230405463284,0.17567546982932,0.5596330275229358,109
revenue_growth_z,0.01114100206708978,0.12351543116432315,0.09019927277157744,0.5181818181818182,110
revenue_growth_neutral_z,0.007837687355940886,0.09047815590950563,0.08662518899898863,0.48623853211009177,109
downside_beta_neutral_z,-0.0071184111577881235,0.11600122610546149,-0.06136496480922092,0.4778761061946903,113
size_z,-0.013736234038352816,0.1629263547484176,-0.08430946644306622,0.44537815126050423,119
rolling_beta_neutral_z,-0.016248166770386364,0.13337319959933386,-0.12182482552115002,0.4336283185840708,113
downside_beta_z,-0.01859793661927094,0.19234457669939234,-0.0966907252515724,0.4336283185840708,113
idiosyncratic_volatility_neutral_z,-0.023385794160809943,0.1365496189751623,-0.1712622439837324,0.4205607476635514,107
rolling_beta_z,-0.025359166974442054,0.2175890748426812,-0.11654614089782289,0.46017699115044247,113
idiosyncratic_volatility_z,-0.030075774048162397,0.2076059698434646,-0.144869504816454,0.411214953271028,107
